School,State,SAT 25,SAT 75,ACT 25,ACT 75,Average GPA,Acceptance Rate
The University of Alabama,Alabama,1470,1860,22,30,3.6,53%
Spring Hill College,Alabama,1440,1810,21,27,3.45,47%
Birmingham Southern College,Alabama,1040,1270,23,29,3.48,65%
Auburn University,Alabama,1570,1890,24,30,3.74,77%
Samford University,Alabama,1510,1850,23,28,3.68,76%
University of Alabama at Birmingham,Alabama,1040,1290,22,28,3.62,72%
University of Alabama at Huntsville,Alabama,1020,1290,23,29,3.64,78%
Huntingdon College,Alabama,840,1040,19,24,3.37,61%
University of Mobile,Alabama,940,1290,20,25,3.34,80%
Oakwood University,Alabama,810,1023,17,22,3.03,32%
University of Montevallo,Alabama,1400,1743,20,26,3.35,78%
University of West Alabama,Alabama,,,18,22,,49%
Troy University,Alabama,,,18,24,,62%
Stillman College,Alabama,733,888,17,20,,41%
Jacksonville State University,Alabama,850,1080,19,26,3.18,82%
Tuskegee University,Alabama,800,1030,18,22,3.1,65%
Alabama State University,Alabama,750,960,15,19,2.89,46%
University of South Alabama,Alabama,1295,1635,20,26,3.4,87%
Alabama A & M University,Alabama,720,900,15,19,,54%
Auburn University at Montgomery,Alabama,,,18,23,3.21,74%
Judson College,Alabama,1580,1850,19,24,3.31,82%
University of North Alabama,Alabama,846,1095,19,25,3.12,88%
Alaska Pacific University,Alaska,1350,1653,20,24,,63%
University of Arizona,Arizona,1463,1820,21,27,3.42,71%
Embry Riddle Aeronautical University Prescott,Arizona,1530,1880,23,29,3.58,82%
Arizona State University,Arizona,1020,1270,22,28,3.42,89%
Northern Arizona University,Arizona,1390,1720,20,25,3.4,76%
Arizona Christian University,Arizona,895,1180,20,25,,71%
Prescott College,Arizona,1390,1820,22,30,3.11,81%
John Brown University,Arkansas,1495,1890,22,28,3.72,65%
University of Arkansas,Arkansas,1020,1230,23,28,3.62,63%
Lyon College,Arkansas,1470,1810,22,28,3.6,62%
Hendrix College,Arkansas,1070,1330,26,32,3.94,83%
Ouachita Baptist University,Arkansas,900,1130,21,27,3.53,69%
Harding University,Arkansas,990,1250,22,28,3.58,75%
University of Arkansas Fort Smith,Arkansas,1170,1710,19,25,,54%
Williams Baptist College,Arkansas,760,940,19,24,,63%
Central Baptist College,Arkansas,1330,1880,18,23,,45%
Arkansas State University Main Campus,Arkansas,1281,1541,21,26,3.44,71%
Henderson State University,Arkansas,950,1128,19,24,3.19,61%
Southern Arkansas University Main Campus,Arkansas,840,1110,18,24,3.1,65%
University of Central Arkansas,Arkansas,,,20,26,3.3,93%
University of Arkansas at Pine Bluff,Arkansas,1018,1353,15,20,,33%
University of the Ozarks,Arkansas,870,1100,20,26,3.39,91%
Arkansas Tech University,Arkansas,1150,1500,18,25,3.16,88%
University of Arkansas at Little Rock,Arkansas,770,960,20,27,3.18,99%
Ecclesia College,Arkansas,,,,,,36%
Stanford University,California,2070,2350,31,34,4.18,7%
California Institute of Technology,California,2210,2390,33,35,,13%
Pomona College,California,2070,2320,31,34,,13%
University of California Berkeley,California,1840,2240,27,33,3.86,22%
Claremont McKenna College,California,1980,2250,29,33,,14%
Harvey Mudd College,California,2070,2320,32,35,,19%
University of Southern California,California,1920,2230,29,33,3.73,20%
University of California Los Angeles,California,1750,2150,25,31,4.29,27%
Scripps College,California,1940,2203,29,32,4.13,32%
Occidental College,California,1820,2100,27,31,3.6,39%
Pitzer College,California,,,,,3.85,16%
University of California San Diego,California,1750,2080,25,31,,35%
Pepperdine University,California,1700,2010,,,3.59,38%
California Polytechnic State University San Luis Obispo,California,1140,1340,25,30,3.87,37%
University of California Davis,California,1600,1970,23,29,3.99,48%
University of California Santa Barbara,California,1640,2000,24,29,3.96,46%
University of San Diego,California,1110,1320,25,30,3.88,43%
Soka University of America,California,1620,1970,25,29,3.86,46%
University of the Pacific,California,1530,1960,22,29,3.47,38%
Santa Clara University,California,1200,1380,27,31,3.66,54%
University of California Irvine,California,1480,1890,21,27,3.92,47%
Chapman University,California,1680,1950,24,29,3.68,45%
Loyola Marymount University,California,1640,1940,25,29,3.72,50%
Point Loma Nazarene University,California,1040,1260,23,28,3.78,56%
San Diego State University,California,980,1200,21,26,3.6,33%
California Lutheran University,California,1010,1203,22,26,3.65,47%
Azusa Pacific University,California,980,1210,21,27,3.64,49%
Westmont College,California,1580,1960,24,29,3.8,66%
University of Redlands,California,1030,1230,23,27,3.6,65%
California State University Long Beach,California,900,1140,18,24,3.5,30%
University of California Santa Cruz,California,1430,1840,20,26,,67%
The Master's College and Seminary,California,960,1230,22,27,3.63,66%
Mills College,California,1560,1870,23,28,3.64,63%
University of San Francisco,California,1600,1900,23,27,3.61,69%
Otis College of Art and Design,California,860,1130,19,25,3.15,55%
Saint Marys College of California,California,1520,1820,22,27,3.61,66%
California State Polytechnic University Pomona,California,950,1190,20,26,3.43,55%
Thomas Aquinas College,California,1730,2030,23,31,3.78,80%
Biola University,California,1493,1860,22,27,3.54,75%
University of California Riverside,California,1450,1800,20,25,3.6,68%
University of La Verne,California,1390,1690,20,25,3.78,40%
Dominican University of California,California,1440,1740,20,25,3.5,56%
Pacific Union College,California,1330,1710,18,25,3.35,47%
California State University Fullerton,California,920,1130,19,24,3.48,47%
California Maritime Academy,California,960,1190,21,26,,72%
Whittier College,California,1400,1730,20,25,3.47,64%
Southern California Institute of Architecture,California,1453,1871,19,23,3.1,80%
Concordia University Irvine,California,1353,1660,20,25,3.42,69%
William Jessup University,California,1350,1730,20,25,3.35,64%
San Diego State University Imperial Valley Campus,California,760,980,16,21,,44%
California State University Channel Islands,California,850,1060,17,23,,54%
San Francisco Art Institute,California,1400,1760,22,27,3.09,63%
California College of the Arts,California,,,,,3.2,83%
Vanguard University of Southern California,California,830,1070,18,28,3.13,67%
California State University Monterey Bay,California,860,1080,18,24,3.2,47%
California State University Chico,California,910,1120,19,24,3.21,74%
Fresno Pacific University,California,1308,1650,18,22,3.3,73%
Hope International University,California,1276,1596,17,22,,52%
Simpson University,California,1360,1710,21,23,3.51,60%
California State University East Bay,California,800,1020,16,22,3.1,36%
San Francisco State University,California,880,1110,19,24,3.2,65%
California State University San Marcos,California,860,1070,18,23,3.18,59%
La Sierra University,California,1220,1560,17,22,3.33,48%
University of California Merced,California,1340,1690,18,24,3.51,80%
California State University Fresno,California,810,1040,16,22,3.33,60%
California Baptist University,California,1270,1650,18,24,3.33,73%
San Diego Christian College,California,1295,1650,19,22,,43%
Life Pacific College,California,1230,1550,17,22,,63%
Woodbury University,California,860,1090,19,25,3.11,76%
Holy Names University,California,820,1000,17,21,3.2,51%
Mount St. Mary's College,California,840,1030,16,22,3.34,60%
California State University San Bernardino,California,790,1000,16,20,3.17,58%
California State University Northridge,California,800,1040,16,22,3.18,62%
Sonoma State University,California,900,1110,19,24,3.2,85%
San Jose State University,California,910,1150,19,25,3.31,75%
Humboldt State University,California,890,1140,18,24,3.21,81%
California State University Sacramento,California,840,1060,17,22,3.25,67%
Notre Dame de Namur University,California,1290,1620,18,22,3.2,75%
California State University Bakersfield,California,790,1020,15,22,3.2,67%
California State University Stanislaus,California,810,1030,16,22,3.26,77%
California State University Dominguez Hills,California,760,940,15,19,3.0,53%
Menlo College,California,1307,1610,19,25,3.2,92%
California State University Los Angeles,California,770,990,15,20,3.18,69%
American Jewish University,California,,,,,3.27,96%
Art Center College of Design,California,,,,,3.25,81%
Bethesda University of California,California,,,,,,82%
California Christian College,California,,,,,,88%
California Institute of the Arts,California,,,,,,25%
Charles R Drew University of Medicine and Science,California,1066,1233,,,,39%
Columbia College Hollywood,California,,,,,,54%
Dell'Arte International School of Physical Theatre,California,,,,,,77%
Laguna College of Art and Design,California,,,,,3.45,40%
Lincoln University,California,,,,,,69%
San Francisco Conservatory of Music,California,,,,,,47%
World Mission University,California,,,,,,90%
SUM Bible College and Theological Seminary,California,,,,,,99%
Providence Christian College,California,,,,,,39%
Touro College Los Angeles,California,,,,,,50%
Colorado College,Colorado,1840,2130,27,32,,23%
Colorado School of Mines,Colorado,1750,2040,27,31,3.8,45%
University of Denver,Colorado,1620,1950,25,30,3.67,68%
United States Air Force Academy,Colorado,1210,1400,29,32,3.88,10%
Colorado State University Fort Collins,Colorado,1020,1250,22,27,3.61,75%
University of Colorado Boulder,Colorado,1060,1280,24,29,3.56,84%
