InstID,Walk,GPA,SATMath,SATReading,SATWriting,ACT
100654,00,3.3,450,450,NULL,19
100663,00,3.6,650,640,NULL,28
100690,00,2.9,NULL,NULL,NULL,NULL
100706,00,2.8,650,640,NULL,29
100724,00,2.9,480,480,NULL,19
100751,00,3.6,640,620,600,30
100812,00,2.6,NULL,NULL,NULL,NULL
100830,00,3.2,NULL,NULL,NULL,23
100858,00,3.7,650,620,620,30
100937,00,3.5,640,630,NULL,29
101189,00,2.5,NULL,NULL,NULL,NULL
101435,00,3.4,540,500,NULL,24
101453,00,3.3,NULL,NULL,NULL,NULL
101480,00,3.2,540,540,NULL,26
101541,00,3.3,600,640,610,24
101587,00,3.3,NULL,NULL,NULL,22
101675,00,2.8,NULL,NULL,NULL,NULL
101693,00,3.3,680,610,NULL,25
101709,00,3.4,550,613,580,26
101879,00,3.1,530,565,NULL,25
101912,00,3.0,510,513,NULL,22
102049,00,3.7,610,630,610,28
102058,00,2.8,NULL,NULL,NULL,NULL
102094,00,3.4,565,550,520,26
102234,00,3.5,600,600,610,27
102261,00,2.9,NULL,NULL,NULL,25
102270,00,3.5,438,450,NULL,20
102298,00,3.1,NULL,NULL,NULL,NULL
102368,00,3.1,NULL,NULL,NULL,24
102377,00,3.1,520,510,NULL,22
102395,00,2.7,NULL,NULL,NULL,NULL
102553,00,3.3,NULL,NULL,NULL,NULL
102614,00,3.3,NULL,NULL,NULL,NULL
102632,00,2.7,NULL,NULL,NULL,NULL
102669,00,2.5,510,575,568,24
103723,00,3.3,NULL,NULL,NULL,NULL
104151,00,3.3,650,620,NULL,28
104179,00,3.4,630,600,590,27
104188,00,3.4,NULL,NULL,NULL,NULL
104531,00,2.9,NULL,NULL,NULL,NULL
104586,00,3.6,650,630,600,29
104665,00,3.5,NULL,NULL,NULL,NULL
104717,00,3.2,NULL,NULL,NULL,NULL
105330,00,3.4,580,580,560,25
105367,00,2.8,NULL,NULL,NULL,NULL
105516,00,2.6,NULL,NULL,NULL,NULL
105589,00,3.1,600,640,580,30
105899,00,3.0,600,580,NULL,25
106102,00,2.8,NULL,NULL,NULL,NULL
106245,00,3.2,480,480,NULL,27
106263,00,3.4,NULL,NULL,NULL,NULL
106342,00,3.6,610,600,600,28
106397,00,3.6,630,600,NULL,28
106412,00,2.8,493,430,430,20
106458,00,3.4,548,515,478,26
106467,00,3.2,520,490,490,25
106704,00,3.3,NULL,NULL,NULL,26
106713,00,2.9,670,590,620,23
107044,00,3.6,620,630,NULL,28
107071,00,3.2,590,538,NULL,24
107080,00,3.9,650,680,NULL,32
107141,00,3.7,640,640,610,28
107512,00,3.5,580,550,NULL,27
107558,00,3.4,550,550,NULL,26
107600,00,2.9,NULL,NULL,NULL,NULL
107877,00,3.3,510,430,NULL,24
107983,00,3.1,590,520,NULL,24
108092,00,3.4,620,540,550,25
108232,00,3.1,NULL,NULL,NULL,NULL
109651,00,3.2,NULL,NULL,NULL,NULL
109785,00,3.6,610,600,NULL,27
110060,00,3.5,NULL,NULL,NULL,NULL
110097,00,3.5,620,620,620,27
110185,00,3.1,NULL,NULL,NULL,NULL
110316,00,2.7,NULL,NULL,NULL,NULL
110361,00,3.3,560,550,540,24
110370,00,3.2,NULL,NULL,NULL,NULL
110404,00,3.3,800,800,790,35
110413,00,3.6,613,590,NULL,26
110422,00,3.9,690,650,NULL,30
110468,00,3.2,NULL,NULL,NULL,NULL
110486,00,3.2,520,500,NULL,22
110495,00,3.3,520,510,NULL,22
110510,00,3.2,510,490,NULL,20
110529,00,3.4,620,570,NULL,26
110538,00,3.2,570,550,NULL,24
110547,00,3.0,470,470,NULL,19
110556,00,3.3,530,510,NULL,22
110565,00,3.5,580,550,NULL,24
110574,00,3.1,520,500,NULL,22
110583,00,3.5,590,550,NULL,24
110592,00,3.2,510,480,NULL,20
110608,00,3.2,530,510,NULL,22
110617,00,3.2,540,520,NULL,22
110635,00,3.9,770,720,750,33
110644,00,4.0,680,640,650,29
110653,00,3.9,670,600,620,27
110662,00,4.3,760,680,710,31
110671,00,3.6,630,580,590,25
110680,00,2.6,730,660,690,31
110705,00,4.0,690,650,660,29
110714,00,2.6,620,610,610,26
111081,00,3.5,NULL,NULL,NULL,NULL
111188,00,3.0,610,580,NULL,26
111948,00,3.7,660,640,650,29
111966,00,3.0,383,405,445,NULL
112075,00,3.4,560,550,550,25
112084,00,3.4,550,570,530,22
112260,00,3.3,760,740,750,33
112394,00,3.2,NULL,NULL,NULL,NULL
112570,00,3.2,NULL,NULL,NULL,NULL
113582,00,3.1,NULL,NULL,NULL,NULL
113607,00,3.2,NULL,NULL,NULL,NULL
113698,00,3.5,590,570,580,25
114813,00,3.3,550,550,550,22
115083,00,2.8,NULL,NULL,NULL,NULL
115409,00,3.4,800,760,760,35
115728,00,3.2,500,500,NULL,21
115755,00,3.2,560,580,NULL,24
115773,00,2.8,NULL,NULL,NULL,NULL
116712,00,3.3,NULL,NULL,NULL,NULL
116846,00,3.3,NULL,NULL,NULL,NULL
117104,00,3.2,515,520,515,22
117113,00,3.4,NULL,NULL,NULL,NULL
117140,00,3.8,580,550,560,25
117168,00,3.5,NULL,NULL,NULL,NULL
117557,00,2.9,NULL,NULL,NULL,NULL
117575,00,3.4,NULL,NULL,NULL,NULL
117627,00,3.3,530,510,520,22
117636,00,2.7,NULL,NULL,NULL,NULL
117751,00,3.6,610,620,NULL,27
117928,00,3.4,NULL,NULL,NULL,NULL
117946,00,3.7,650,640,650,29
118693,00,3.2,565,532,513,25
118888,00,3.6,610,640,620,28
119058,00,3.2,NULL,NULL,NULL,NULL
119173,00,3.3,520,510,NULL,22
119544,00,3.4,NULL,NULL,NULL,NULL
119605,00,2.7,NULL,NULL,NULL,NULL
119775,00,3.0,NULL,NULL,NULL,NULL
120166,00,3.0,NULL,NULL,NULL,NULL
120184,00,3.2,560,550,510,22
120254,00,3.6,700,700,700,31
120403,00,3.1,580,550,NULL,25
120537,00,3.0,528,538,530,22
120698,00,3.4,NULL,NULL,NULL,NULL
